12.01 19:00:25.800 [main] INFO  - Test started iMovingSmokeTDDTest
12.01 19:00:25.823 [main] INFO  - Opening environment 
12.01 19:00:30.425 [main] INFO  - Annotations for test method loginWithValidData:
12.01 19:00:39.982 [main] INFO  - Closing environment
12.01 19:00:39.985 [main] INFO  - Opening environment 
12.01 19:00:41.334 [main] INFO  - Annotations for test method chooseMoveOption:
12.01 19:00:44.132 [main] INFO  - Option value Just a few Items
12.01 19:00:56.571 [main] INFO  - Option value Breakfast table, M
12.01 19:01:01.346 [main] INFO  - Option value Mirror, S
12.01 19:01:17.716 [main] INFO  - Annotations for test method boxCalculatingPage:
12.01 19:01:19.449 [main] INFO  - Annotations for test method details_Page:
12.01 19:01:37.546 [main] INFO  - Annotations for test method marketplace_Page:
12.01 19:01:49.482 [main] INFO  - Annotations for test method summary_Page:
12.01 19:02:06.602 [main] INFO  - closing driver after failure on summary_Page
12.01 19:02:06.610 [main] INFO  - Annotations for test method payment_Page:
12.01 19:02:06.611 [main] WARN  - I am in onTestSkipped method payment_Page skipped
12.01 19:02:06.612 [main] INFO  - Annotations for test method success_Page_Test:
12.01 19:02:06.613 [main] WARN  - I am in onTestSkipped method success_Page_Test skipped
12.01 19:02:06.614 [main] INFO  - Closing environment
12.01 19:02:06.615 [main] INFO  - Opening environment 
12.01 19:02:07.940 [main] INFO  - Annotations for test method addAdditionalPickUpPayByCC:
12.01 19:02:07.959 [main] INFO  - Continue order popup appeared and going to click...
12.01 19:02:08.113 [main] INFO  - closing driver after failure on addAdditionalPickUpPayByCC
12.01 19:02:08.115 [main] INFO  - Annotations for test method addAdditionalPickUpPayByCheck:
